tick,robot,x,y,heading,fwd_cmd,lat_cmd,yaw_cmd,dpos,d_collisions,dist_to_target
29,2,41.95,14.04,1.031,1.0,0.0,-0.001,0.0,1,
29,3,14.04,41.95,0.54,1.0,0.0,0.001,0.0,1,
30,0,98.49,132.6,0.715,0.0,0.0,-1.0,0.0,0,37.1
30,1,135.49,89.52,-1.194,1.0,0.0,-0.028,1.5,0,18.7
30,2,41.95,14.04,1.031,1.0,0.0,-0.001,0.0,3,
30,3,14.04,41.95,0.54,1.0,0.0,0.001,0.0,3,
31,0,98.58,132.68,0.557,0.085,0.0,-1.0,0.12,0,37.2
31,1,136.05,88.12,-1.198,1.0,0.0,-0.024,1.5,0,17.2
31,2,41.95,14.04,1.031,1.0,0.0,-0.001,0.0,1,
31,3,14.04,41.95,0.54,1.0,0.0,0.001,0.0,2,
32,0,98.78,132.81,0.4,0.234,0.0,-1.0,0.24,0,37.3
32,1,136.5,86.73,-1.201,1.0,0.0,-0.021,1.469,1,15.7
32,2,41.95,14.04,1.031,1.0,0.0,-0.001,0.0,2,
32,3,14.04,41.95,0.54,1.0,0.0,0.001,0.0,2,
33,0,99.11,132.95,0.243,0.371,0.0,-1.0,0.36,0,37.5
33,1,136.5,86.62,-1.203,1.0,0.0,-0.011,0.112,1,15.6
33,2,41.95,14.04,1.031,1.0,0.0,-0.0,0.0,2,
33,3,14.04,41.95,0.54,1.0,0.0,0.0,0.0,1,
34,0,99.58,133.06,0.086,0.493,0.0,-1.0,0.48,0,37.6
34,1,136.5,86.5,-1.204,1.0,0.0,-0.005,0.112,1,15.5
34,2,41.95,14.04,1.031,1.0,0.0,-0.0,0.0,1,
34,3,14.04,41.95,0.54,1.0,0.0,0.0,0.0,2,
35,0,100.18,133.11,-0.071,0.6,0.0,-1.0,0.6,0,37.8
35,1,136.5,86.39,-1.204,1.0,0.0,0.0,0.112,1,15.4
35,2,41.95,14.04,1.031,1.0,0.0,-0.0,0.0,2,
35,3,14.04,41.95,0.54,1.0,0.0,0.0,0.0,1,
36,0,100.9,133.06,-0.228,0.692,0.0,-1.0,0.72,0,37.8
36,1,136.5,86.28,-1.203,1.0,0.0,0.004,0.112,1,15.3
36,2,41.95,14.04,1.03,1.0,0.0,-0.0,0.0,3,
36,3,14.04,41.95,0.54,1.0,0.0,0.0,0.0,2,
37,0,101.71,132.87,-0.383,0.77,0.0,-0.988,0.84,0,37.7
37,1,136.5,86.17,-1.202,1.0,0.0,0.007,0.112,1,15.2
37,2,41.95,14.04,1.03,1.0,0.0,-0.0,0.0,1,
37,3,14.04,41.95,0.54,1.0,0.0,0.0,0.0,1,
38,0,102.6,132.51,-0.521,0.833,0.0,-0.837,0.96,0,37.5
38,1,136.5,86.06,-1.201,1.0,0.0,0.009,0.112,1,15.1
38,2,41.95,14.04,1.03,1.0,0.0,-0.0,0.0,1,
38,3,14.04,41.95,0.54,1.0,0.0,0.0,0.0,2,
39,0,103.54,131.98,-0.641,0.877,0.0,-0.717,1.08,0,37.2
39,1,136.5,85.94,-1.199,1.0,0.0,0.011,0.112,1,15.0
39,2,41.95,14.04,1.03,1.0,0.0,-0.0,0.0,2,
39,3,14.04,41.95,0.54,1.0,0.0,0.0,0.0,1,
40,0,104.5,131.26,-0.744,0.904,0.0,-0.631,1.2,0,36.7
40,1,136.5,85.83,-1.197,1.0,0.0,0.012,0.112,1,14.9
40,2,41.95,14.04,1.013,0.0,0.0,-1.0,0.0,0,
40,3,14.04,41.95,0.558,0.0,0.0,1.0,0.0,0,
41,0,105.47,130.37,-0.835,0.92,0.0,-0.577,1.32,0,36.1
41,1,136.5,85.72,-1.195,1.0,0.0,0.014,0.112,1,14.8
41,2,41.95,14.04,0.978,0.0,0.0,-1.0,0.0,0,
41,3,14.04,41.95,0.593,0.0,0.0,1.0,0.0,0,
42,0,106.41,129.34,-0.921,0.927,0.0,-0.551,1.39,0,35.4
42,1,136.5,85.61,-1.193,1.0,0.0,0.015,0.112,1,14.7
42,2,41.95,14.04,0.925,0.0,0.0,-1.0,0.0,0,
42,3,14.04,41.95,0.645,0.0,0.0,1.0,0.0,0,
43,0,107.25,128.22,-1.006,0.93,0.0,-0.538,1.395,0,34.6
43,1,136.5,85.5,-1.19,1.0,0.0,0.015,0.112,1,14.6
43,2,41.95,14.04,0.855,0.0,0.0,-1.0,0.0,0,
43,3,14.03,41.95,0.715,0.051,0.0,1.0,0.008,1,
44,0,108.0,127.04,-1.089,0.932,0.0,-0.53,1.398,0,33.8
44,1,136.5,85.39,-1.188,1.0,0.0,0.016,0.111,1,14.5
44,2,41.95,14.04,0.768,0.0,0.0,-1.0,0.0,0,
44,3,14.02,41.97,0.803,0.12,0.0,1.0,0.021,1,
45,0,108.65,125.8,-1.172,0.933,0.0,-0.527,1.399,0,32.9
45,1,136.5,85.27,-1.185,1.0,0.0,0.017,0.111,1,14.4
45,2,41.95,14.04,0.663,0.0,0.0,-1.0,0.0,0,
45,3,14.01,42.0,0.908,0.207,0.0,1.0,0.032,1,
46,0,109.19,124.52,-1.254,0.933,0.0,-0.527,1.399,0,31.9
46,1,136.5,85.16,-1.182,1.0,0.0,0.017,0.111,1,14.3
46,2,41.95,14.04,0.54,0.0,0.0,-1.0,0.0,0,
46,3,13.98,42.04,1.031,0.309,0.0,1.0,0.044,1,
47,0,109.63,123.19,-1.337,0.933,0.0,-0.528,1.399,0,30.9
47,1,136.5,85.05,-1.179,1.0,0.0,0.018,0.111,1,14.2
47,2,41.95,14.04,0.4,0.0,0.0,-1.0,0.0,0,
47,3,13.95,42.09,1.171,0.424,0.0,1.0,0.058,1,
48,0,109.95,121.83,-1.42,0.932,0.0,-0.529,1.399,0,29.9
48,1,136.5,84.94,-1.177,1.0,0.0,0.018,0.111,1,14.1
48,2,42.01,14.0,0.243,0.139,0.0,-1.0,0.071,1,
48,3,13.92,42.15,1.328,0.547,0.0,1.0,0.073,1,
49,0,110.16,120.44,-1.503,0.932,0.0,-0.528,1.399,0,28.8
49,1,136.5,84.83,-1.174,1.0,0.0,0.018,0.111,1,14.0
49,2,42.08,13.96,0.086,0.29,0.0,-1.0,0.086,2,
49,3,13.88,42.22,1.485,0.672,0.0,1.0,0.087,2,
50,0,110.26,119.05,-1.586,0.933,0.0,-0.526,1.399,0,27.6
50,1,136.5,84.72,-1.171,1.0,0.0,0.019,0.111,1,13.9
50,2,42.17,13.91,-0.071,0.433,0.0,-1.0,0.099,1,
50,3,13.83,42.31,1.636,0.78,0.0,0.965,0.1,1,
51,0,110.23,117.65,-1.668,0.934,0.0,-0.521,1.401,0,26.4
51,1,136.5,84.61,-1.168,1.0,0.0,0.019,0.111,1,13.8
51,2,42.26,13.85,-0.228,0.565,0.0,-1.0,0.109,2,
51,3,13.77,42.41,1.77,0.867,0.0,0.746,0.109,1,
52,0,110.1,116.25,-1.748,0.936,0.0,-0.513,1.404,0,25.2
52,1,136.5,84.5,-1.165,1.0,0.0,0.019,0.11,1,13.7
52,2,42.36,13.8,-0.385,0.684,0.0,-1.0,0.116,1,
52,3,13.72,42.51,1.887,0.926,0.0,0.552,0.115,1,
53,0,109.85,114.86,-1.827,0.939,0.0,-0.501,1.409,0,23.9
53,1,136.5,84.39,-1.162,1.0,0.0,0.02,0.11,1,13.6
53,2,42.47,13.74,-0.534,0.787,0.0,-0.951,0.119,2,
53,3,13.66,42.61,1.986,0.964,0.0,0.384,0.118,1,
54,0,109.49,113.49,-1.903,0.943,0.0,-0.485,1.414,0,22.6
